"AABAFI22TMS","BANK OF ALAND PLC","FI","MARIEHAMN"
"AABAFI22XXX","BANK OF ALAND PLC","FI","MARIEHAMN"
"AABASESSTMS","ALANDSBANKEN ABP FINLANDSVENSK F","SE","STOCKHOLM"
"AABASESSXXX","ALANDSBANKEN ABP FINLANDSVENSK F","SE","STOCKHOLM"
"AABNNL2AXXX","ABN AMRO TRADING AS KENDU","NL","AMSTERDAM"
"AABSDE31XXX","AACHENER BAUSPARKASSE AKTIENGESELLS","DE","AACHEN"
"AACSDE33DOT","SPARKASSE AACHEN","DE","AACHEN"
"AACSDE33XXX","SPARKASSE AACHEN","DE","AACHEN"
"AAKRDK22XXX","KREDITBANKEN AS","DK","AABENRAA"
"AARBDE5W100","AAREAL BANK AG","DE","BERLIN"
"AARBDE5W200","AAREAL BANK AG","DE","WIESBADEN"
"AARBDE5W250","AAREAL BANK AG","DE","WIESBADEN"
"AARBDE5W360","AAREAL BANK AG","DE","ESSEN"
"AARBDE5W500","AAREAL BANK AG","DE","WIESBADEN"
"AARBDE5W550","AAREAL BANK AG","DE","WIESBADEN"
"AARBDE5W600","AAREAL BANK AG","DE","WIESBADEN"
"AARBDE5W700","AAREAL BANK AG","DE","WIESBADEN"
"AARBDE5W860","AAREAL BANK AG","DE","LEIPZIG"
"AARBDE5WCLE","AAREAL BANK AG","DE","WIESBADEN"
"AARBDE5WDOM","AAREAL BANK AG","DE","WIESBADEN"
